date,name,author,description,image
"July 31, 2022",WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg
"July 31, 2022",IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
"July 31, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
"July 31, 2022",THE 6:20 MAN,David Baldacci,"When his ex-girlfriend turns up dead in his office building, an entry-level investment analyst delves into the halls of economic power.",https://storage.googleapis.com/du-prd/books/images/9781538719848.jpg
"July 31, 2022",UGLY LOVE,Colleen Hoover,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg
"July 31, 2022",THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg
"July 31, 2022",THE IT GIRL,Ruth Ware,"A decade after her first year at Oxford, an expectant mother looks into the mystery of her former best friend’s death.",https://storage.googleapis.com/du-prd/books/images/9781982155261.jpg
"July 31, 2022",THE HOTEL NANTUCKET,Elin Hilderbrand,The new general manager of a hotel far from its Gilded Age heyday deals with the complicated pasts of her guests and staff.,https://storage.googleapis.com/du-prd/books/images/9780316258678.jpg
"July 31, 2022",NOVEMBER 9,Colleen Hoover,Is Ben using his relationship with Fallon as fodder for his novel?,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg
"July 31, 2022",BOOK LOVERS,Emily Henry,"While on vacation in North Carolina, a literary agent keeps running into an editor.",https://storage.googleapis.com/du-prd/books/images/9780593334836.jpg
"July 31, 2022",EVERY SUMMER AFTER,Carley Fortune,The love story of Percy and Sam is told over the course of six summers and one weekend.,https://storage.googleapis.com/du-prd/books/images/9780593438534.jpg
"July 31, 2022",PEOPLE WE MEET ON VACATION,Emily Henry,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,https://storage.googleapis.com/du-prd/books/images/9781984806758.jpg
"July 31, 2022",BEACH READ,Emily Henry,A relationship develops between a literary fiction author and a romance novelist as they both try to overcome writer’s block.,https://storage.googleapis.com/du-prd/books/images/9781984806734.jpg
"July 31, 2022",SPARRING PARTNERS,John Grisham,"Three novellas: “Homecoming,” “Strawberry Moon” and “Sparring Partners.”",https://storage.googleapis.com/du-prd/books/images/9780385549325.jpg
"July 31, 2022",RISING TIGER,Brad Thor,The 21st book in the Scot Harvath series. The American spy faces dangers on a mission in an unfamiliar culture.,https://storage.googleapis.com/du-prd/books/images/9781982182151.jpg
"July 24, 2022",WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg
"July 24, 2022",IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
"July 24, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
"July 24, 2022",RISING TIGER,Brad Thor,The 21st book in the Scot Harvath series. The American spy faces dangers on a mission in an unfamiliar culture.,https://storage.googleapis.com/du-prd/books/images/9781982182151.jpg
"July 24, 2022",UGLY LOVE,Colleen Hoover,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg
"July 24, 2022",THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg
"July 24, 2022",THE HOTEL NANTUCKET,Elin Hilderbrand,The new general manager of a hotel far from its Gilded Age heyday deals with the complicated pasts of her guests and staff.,https://storage.googleapis.com/du-prd/books/images/9780316258678.jpg
"July 24, 2022",BOOK LOVERS,Emily Henry,"While on vacation in North Carolina, a literary agent keeps running into an editor.",https://storage.googleapis.com/du-prd/books/images/9780593334836.jpg
"July 24, 2022",NOVEMBER 9,Colleen Hoover,Is Ben using his relationship with Fallon as fodder for his novel?,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg
"July 24, 2022",EVERY SUMMER AFTER,Carley Fortune,The love story of Percy and Sam is told over the course of six summers and one weekend.,https://storage.googleapis.com/du-prd/books/images/9780593438534.jpg
"July 24, 2022",SPARRING PARTNERS,John Grisham,"Three novellas: “Homecoming,” “Strawberry Moon” and “Sparring Partners.”",https://storage.googleapis.com/du-prd/books/images/9780385549325.jpg
"July 24, 2022",PEOPLE WE MEET ON VACATION,Emily Henry,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,https://storage.googleapis.com/du-prd/books/images/9781984806758.jpg
"July 24, 2022","TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Two friends find their partnership challenged in the world of video game design.,https://storage.googleapis.com/du-prd/books/images/9780593321201.jpg
"July 24, 2022",BEACH READ,Emily Henry,A relationship develops between a literary fiction author and a romance novelist as they both try to overcome writer’s block.,https://storage.googleapis.com/du-prd/books/images/9781984806734.jpg
"July 24, 2022","COLD, COLD BONES",Kathy Reichs,The 21st book in the Temperance Brennan series. Newly discovered killings resemble ones the forensic anthropologist encountered earlier in her career.,https://storage.googleapis.com/du-prd/books/images/9781982190040.jpg
"July 17, 2022",WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg
"July 17, 2022",IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
"July 17, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
"July 17, 2022",UGLY LOVE,Colleen Hoover,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg
"July 17, 2022",THE HOTEL NANTUCKET,Elin Hilderbrand,The new general manager of a hotel far from its Gilded Age heyday deals with the complicated pasts of her guests and staff.,https://storage.googleapis.com/du-prd/books/images/9780316258678.jpg
"July 17, 2022",THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg
"July 17, 2022",SUSPECTS,Danielle Steel,A C.I.A. agent on a covert mission develops a relationship with a woman who is considered fashion royalty and has a tragic past.,https://storage.googleapis.com/du-prd/books/images/9781984821676.jpg
"July 17, 2022",BOOK LOVERS,Emily Henry,"While on vacation in North Carolina, a literary agent keeps running into an editor.",https://storage.googleapis.com/du-prd/books/images/9780593334836.jpg
"July 17, 2022",NOVEMBER 9,Colleen Hoover,Is Ben using his relationship with Fallon as fodder for his novel?,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg
"July 17, 2022",SPARRING PARTNERS,John Grisham,"Three novellas: “Homecoming,” “Strawberry Moon” and “Sparring Partners.”",https://storage.googleapis.com/du-prd/books/images/9780385549325.jpg
"July 17, 2022",EVERY SUMMER AFTER,Carley Fortune,The love story of Percy and Sam is told over the course of six summers and one weekend.,https://storage.googleapis.com/du-prd/books/images/9780593438534.jpg
"July 17, 2022",PEOPLE WE MEET ON VACATION,Emily Henry,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,https://storage.googleapis.com/du-prd/books/images/9781984806758.jpg
"July 17, 2022",BEACH READ,Emily Henry,A relationship develops between a literary fiction author and a romance novelist as they both try to overcome writer’s block.,https://storage.googleapis.com/du-prd/books/images/9781984806734.jpg
"July 17, 2022",ALL YOUR PERFECTS,Colleen Hoover,Quinn and Graham’s marriage depends on past promises.,https://storage.googleapis.com/du-prd/books/images/9781501171604.jpg
"July 17, 2022",MALIBU RISING,Taylor Jenkins Reid,An epic party has serious outcomes for four famous siblings.,https://storage.googleapis.com/du-prd/books/images/9781524798659.jpg
"July 10, 2022",WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg
"July 10, 2022",IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
"July 10, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
